South_Dakota_Counties,Democrat,Republican,Others,Year,Voter_turnout_percent
Harding,253,637,0,1972,
Hughes,2037,4231,14,1972,
Hutchinson,2248,3092,8,1972,
Hyde,533,789,4,1972,
Jackson,261,581,4,1972,
Jerauld,829,988,3,1972,
Jones,346,642,9,1972,
Kingsbury,1632,2320,6,1972,
Lake,2886,2919,17,1972,
Lawerence,2533,4795,24,1972,
Lincoln,2617,3201,10,1972,
Lyman,774,1166,4,1972,
Marshall,1646,1500,1,1972,
McCook,1993,1963,7,1972,
McPherson,579,1950,6,1972,
Meade,1633,3416,31,1972,
Mellette,433,637,6,1972,
Miner,1337,1059,9,1972,
Minnehaha,22386,22447,155,1972,
Moody,1895,1648,11,1972,
Pennington,8592,13654,80,1972,
Perkins,900,1691,7,1972,
Potter,858,1389,6,1972,
Roberts,2976,2187,9,1972,
Sanbron,1074,1064,7,1972,
Shannon,1246,356,9,1972,
Spink,2321,2547,12,1972,
Stanely,492,779,7,1972,
Sully,414,773,4,1972,
Todd,907,806,10,1972,
Tripp,1538,2592,2,1972,
Turner,1993,3007,10,1972,
Union,2554,2271,17,1972,
Walworth,1287,2416,8,1972,
Washabaugh,211,245,0,1972,
Yankton,3835,4366,24,1972,
Ziebach,378,486,6,1972,
Aurora,1060,1043,130,1968,
Beadle,5357,4214,307,1968,
Bennett,457,665,111,1968,
Bon Homme,1773,2411,199,1968,
Brookings,3202,4674,205,1968,
Brown,7302,6685,560,1968,
Brule,1425,1237,153,1968,
Buffalo,265,261,28,1968,
Butte,1017,2090,196,1968,
Campbell,245,1216,73,1968,
Charles Mix,2369,2093,213,1968,
Clark,1325,1596,119,1968,
Clay,2006,2249,131,1968,
Codington,4235,3929,288,1968,
Corson,821,1108,80,1968,
Custer,727,1143,194,1968,
Davison,3585,3869,265,1968,
Day,2463,2062,182,1968,
Deuel,1076,1398,151,1968,
Dewey,721,941,123,1968,
Douglas,592,1613,77,1968,
Edmunds,1225,1534,181,1968,
Fall river,965,1843,286,1968,
Faulk,819,997,199,1968,
Grant,1890,2259,211,1968,
Gregory,1266,1810,251,1968,
Haakon,377,759,109,1968,
Hamlin,1149,1649,128,1968,
Hand,1136,1650,226,1968,
Hanson,826,901,72,1968,
Harding,266,564,65,1968,
Hughes,1666,3204,343,1968,
Hutchinson,1412,3544,175,1968,
Hyde,499,713,113,1968,
Jackson,267,480,98,1968,
Jerauld,745,1002,56,1968,
Jones,358,562,88,1968,
Kingsbury,1491,2300,146,1968,
Lake,2294,2876,188,1968,
Lawerence,2425,4185,338,1968,
Lincoln,1961,3259,222,1968,
Lyman,643,1063,131,1968,
Marshall,1518,1471,140,1968,
McCook,1653,1959,188,1968,
McPherson,389,2105,126,1968,
Meade,1522,2392,343,1968,
Mellette,407,611,79,1968,
Miner,1255,1045,92,1968,
Minnehaha,16462,20141,1177,1968,
Moody,1614,1689,153,1968,
